,name,sector,close,atr14,atr_pct,vol20d_ann,rsi14,turnover_sek,ret_1d,ret_5d,ret_21d,momentum,trend,reversal,volume,fundamental,sentiment,macro,score,confidence,qual_notes
STOR-B.ST,Storskogen B,Industri,10.795000076293944,0.2864101259415923,0.02653173913083662,0.20192032765007006,61.483594962513784,34624053.89492998,0.009822310573643467,0.013139403738277933,0.06617284704137716,0.0442341776516013,0.6496666261191221,-0.02067033424699792,-0.15969430781448443,0.0,0.0,0.0,0.09845678951534463,0.378,
EPI-A.ST,Epiroc A,Industri,269.1000061035156,5.961563379614678,0.02215370956670073,0.22864908276618598,66.88889351065504,275743247.10288465,0.014323477140572916,0.08859227113930257,0.09479252547792516,0.09675023555961874,0.7151505996810361,-0.6674244796465961,0.2926116555160675,0.0,0.0,0.0,0.07934828365320384,0.471,
ABB.ST,ABB,Industri,939.0,22.296825014729677,0.02374528755562266,0.22545827049897466,43.54056492257728,354141529.7019165,0.01557432921727786,-0.008238263512392763,0.0023484332148790976,0.21985336450963605,-0.1706793712547328,0.44595340467998856,0.06346478751566105,0.0,0.0,0.0,0.07713001528298101,0.471,
BILL.ST,Billerud,Material,77.44999694824219,1.5595246616892018,0.020135890550536644,0.18400463403759104,65.06416699022168,28081335.431204986,0.010436991603883783,0.03404533204825411,0.04029550198753684,0.07225730103729608,0.5677707417111233,-0.2358343282923539,-0.4142167019665782,0.0,0.0,0.0,0.05893566858842822,0.378,
TELIA.ST,Telia,Telekom,43.9900016784668,0.6811686885047118,0.01548462519923352,0.183685506126195,47.969093813062976,205298239.039653,0.0068666299196087355,0.0038795523693866407,-0.013234637244381897,0.019259990386114645,0.1976790958586695,0.28060520066713673,-0.20842815257878938,0.0,0.0,0.0,0.05210597441310328,0.471,
EPI-B.ST,Epiroc B,Industri,228.8000030517578,4.810975762009683,0.02102699168636537,0.2038321992847648,68.23899738000799,78295008.9472557,0.011494280011465019,0.0843602040367668,0.09264570067210065,0.0403589144039217,0.7041350464618594,-0.6596963274063468,0.0018665118019146841,0.0,0.0,0.0,0.0498336784197204,0.471,
ADDT-B.ST,Addtech B,Industri,339.6000061035156,6.1481729619518415,0.018104160339967066,0.15641032168503058,47.03105380435915,98602894.31409912,0.0029533372178802697,0.01011300943793736,-0.0029359952497948205,-0.1085016997422665,0.29274539808467537,0.2510823751909036,0.04801565919949383,0.0,0.0,0.0,0.04429540525619973,0.471,
NIBE-B.ST,NIBE B,Industri,42.36000061035156,1.141701323643752,0.026952344362449164,0.3586760883787274,74.89694779143429,267681977.20017108,0.007611790862402934,0.11503023792604194,0.14331987807383006,-0.06639110295633215,0.6715000909878663,-0.9237545472888589,1.0,0.0,0.0,0.0,0.04175178318021101,0.378,
TEL2-B.ST,Tele2 B,Telekom,169.3000030517578,2.710797240589339,0.016011796761519273,0.19653140901564825,57.90490751439667,256785029.1201912,0.009239958579778218,0.020186840404464945,0.02234297591709833,-0.11654693246491177,0.6201274558310943,-0.010566769705723476,-0.5330015671932125,0.0,0.0,0.0,0.03617562992820322,0.285,
EVO.ST,Evolution,Sallankopsvaror,830.4000244140625,19.708799313264,0.023734102521457294,0.2447894589549054,79.47906147691819,489490760.103891,0.0043541807864602156,0.06325227197703276,0.1948201790130395,-0.04058959946267773,0.7127665772156788,-0.6960869713263067,0.10180680703875859,0.0,0.0,0.0,0.03224922993598966,0.378,
